City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kattivakkam,13.2167,80.3167,30.04,75,57,2.94,IN,1686703154
83,santana,-0.0583,-51.1817,29.1,79,20,6.17,BR,1686703154
84,redding,40.5865,-122.3917,31.06,45,0,5.66,US,1686703115
85,phongsali,21.6833,102.1058,18.21,98,100,0.36,LA,1686703154
86,port alfred,-33.5906,26.891,18.43,50,23,4.02,ZA,1686703085
87,waitangi,-43.9535,-176.5597,10.46,94,100,4.92,NZ,1686703154
88,mawu,29.5923,107.3139,22.27,84,100,1.63,CN,1686703154
89,vel'sk,61.0701,42.0983,10.53,75,7,2.31,RU,1686703155
90,albany,42.6001,-73.9662,19.1,76,100,1.27,US,1686703055
91,lihue,21.9789,-159.3672,26.58,78,75,6.69,US,1686703155
92,thal,35.4791,72.2439,16.33,70,11,1.58,PK,1686703155
93,touros,-5.1989,-35.4608,24.26,84,29,4.89,BR,1686703155
94,naze,28.3667,129.4833,25.51,86,100,3.23,JP,1686703155
95,lefka,35.1106,32.8506,20.69,72,0,3.08,CY,1686703155
96,port lincoln,-34.7333,135.8667,15.63,74,28,7.85,AU,1686703155
97,kearneys spring,-27.6014,151.9403,15.68,55,0,1.79,AU,1686703155
98,west island,-12.1568,96.8225,26.99,78,75,9.79,CC,1686703155
99,pathein,16.7833,94.7333,26.43,85,100,3.76,MM,1686703155
100,la sarre,48.8002,-79.1996,12.49,97,100,2.21,CA,1686703154
101,geraldton,-28.7667,114.6,10.23,87,75,6.69,AU,1686703156
102,dunay,42.8803,132.3375,15.03,85,98,2.75,RU,1686703156
103,huarmey,-10.0681,-78.1522,21.06,79,26,4.69,PE,1686703156
104,nagqu,31.5,92.0,5.6,73,100,2.8,CN,1686703156
105,talnakh,69.4865,88.3972,3.45,97,100,3.36,RU,1686703156
106,cadale,2.7603,46.3222,25.97,84,100,7.35,SO,1686703156
107,rosarito,32.3333,-117.0333,20.92,72,2,5.49,MX,1686702966
108,tazovsky,67.4667,78.7,6.4,56,100,3.47,RU,1686703156
109,tamanrasset,22.785,5.5228,29.95,17,40,2.06,DZ,1686703156
110,baley,51.6,116.6333,15.61,51,62,2.78,RU,1686703156
111,ribeira grande,38.5167,-28.7,19.87,95,19,6.71,PT,1686703156
112,kapit,2.0167,112.9333,25.78,91,74,0.1,MY,1686703156
113,ilulissat,69.2167,-51.1,2.01,87,75,2.06,GL,1686703157
114,shchuchinsk,52.9333,70.2,9.38,57,0,1.25,KZ,1686703157
115,badger,64.8,-147.5333,18.62,31,75,4.12,US,1686703157
116,port augusta,-32.5,137.7667,14.59,54,5,4.01,AU,1686703157
117,vikhorevka,56.1201,101.1636,12.77,70,100,1.48,RU,1686703157
118,nayoro,44.3506,142.4578,17.97,90,100,2.18,JP,1686703157
119,sakakah,29.9697,40.2064,25.76,30,1,1.64,SA,1686703157
120,coahuayana de hidalgo,18.7,-103.6583,28.43,69,11,1.97,MX,1686703157
121,yellowknife,62.456,-114.3525,16.29,59,75,2.06,CA,1686702935
122,happy valley-goose bay,53.3168,-60.3315,12.17,58,75,4.12,CA,1686703157
123,walvis bay,-22.9575,14.5053,11.16,87,0,2.06,NA,1686703158
124,lompoc,34.6391,-120.4579,22.66,78,20,4.92,US,1686703158
125,ar rutbah,33.0381,40.2848,23.55,36,93,3.66,IQ,1686703158
126,iqaluit,63.7506,-68.5145,2.85,64,75,6.71,CA,1686703158
127,olyokminsk,60.3736,120.4264,16.34,35,100,5.69,RU,1686703158
128,hell-ville,-13.4,48.2667,24.14,78,40,2.59,MG,1686703158
129,louhans,46.6667,5.1667,14.6,80,1,0.93,FR,1686703158
130,shingu,33.7333,135.9833,22.38,92,100,2.58,JP,1686703158
131,atafu village,-8.5421,-172.5159,28.63,75,23,3.66,TK,1686703158
132,ola,59.5833,151.2833,13.97,77,63,3.22,RU,1686703159
133,hotan,37.0997,79.9269,28.01,21,99,3.38,CN,1686703159
134,kapa'a,22.0752,-159.319,26.99,82,75,6.69,US,1686703159
135,kodiak,57.79,-152.4072,12.73,54,75,4.63,US,1686703159
136,selkirk,50.1436,-96.8845,22.27,74,20,5.56,CA,1686703159
137,waingapu,-9.6567,120.2641,26.48,66,94,4.94,ID,1686703159
138,bardai,11.65,7.2333,23.91,71,65,0.88,NG,1686703159
139,sarmasag,47.35,22.8333,13.27,93,73,0.33,RO,1686703159
140,ardestan,33.3761,52.3694,26.27,32,0,0.4,IR,1686703159
141,thompson,55.7435,-97.8558,12.09,50,20,2.57,CA,1686703159
142,tarfaya,27.9358,-12.9218,21.16,74,1,7.81,MA,1686703159
143,mudgee,-32.5943,149.5871,10.44,62,3,5.74,AU,1686703038
144,codrington,-38.2667,141.9667,11.42,80,100,5.48,AU,1686703160
145,jamestown,42.097,-79.2353,14.77,94,100,2.06,US,1686703160
146,qaqortoq,60.7167,-46.0333,5.18,99,100,0.7,GL,1686703160
147,okeho,8.0333,3.35,21.39,89,97,1.29,NG,1686703160
148,flying fish cove,-10.4217,105.6791,26.82,83,100,5.66,CX,1686703160
149,vorgashor,67.5833,63.95,5.42,74,100,4.93,RU,1686703160
150,kourou,5.1552,-52.6478,26.03,88,51,3.21,GF,1686703160
151,kimbe,-5.5502,150.1429,30.22,70,100,1.25,PG,1686703160
152,souillac,-20.5167,57.5167,20.21,94,40,2.06,MU,1686703160
153,new norfolk,-42.7826,147.0587,9.95,80,97,1.38,AU,1686703161
